cell_id,LST_Celsius,NDVI,NDBI,Elevation,lon,lat,road_length_m,distance_to_coast_m
3858,48.39763514012407,0.2035624295547689,0.0474476484696298,57.96470912599944,67.17595371368166,24.977080822669457,10748.612090673829,18171.015602539315
3859,49.64824664883716,0.1628069481109429,0.0744442415090037,60.75682006062276,67.17588712115806,24.981594082785254,14059.678061688415,18666.66799059607
3860,49.8311404570153,0.1371865778122371,0.0855767937002429,62.9536998759818,67.1758205125128,24.98610733999823,14411.202507499298,19162.546274288932
3861,48.30659002691197,0.2344241771564052,0.0252016792045505,63.69119470855727,67.17575388774333,24.990620594307973,9687.687451939188,19658.633359343257
3862,48.683764467289045,0.1164292884312984,0.0768274736791611,64.74020959735248,67.17568724684705,24.995133845714083,8685.233323781546,20154.913827640055
3863,47.43149400747174,0.1443174173924874,0.0652141124465514,67.13152083908363,67.17562058982138,24.999647094216137,12195.618577877089,20651.373737399084
3864,47.36751014481096,0.2282513778985933,0.0416429127141824,68.78415677615237,67.17555391666376,25.004160339813748,7186.926856587528,21148.000451190204
3865,47.909788970919145,0.2209519673987877,0.0446868231293565,71.81465636213088,67.17548722737158,25.0086735825065,6371.2095748531365,21644.782487359294
3866,48.67760902717282,0.1550313044060476,0.080601276836954,73.51116009920094,67.17542052194227,25.01318682229399,10280.579429212004,22141.70939124276
3867,49.25270662924352,0.1511405588589675,0.0891321766136142,75.61664599696844,67.17535380037324,25.017700059175816,5871.659400584282,22638.771623195054
3868,49.07571068544557,0.1564569348885144,0.0727392848683986,78.03925079190196,67.17528706266195,25.02221329315156,12493.656468567064,23135.960460885897
3869,48.54317318625795,0.162475246932253,0.0453723692990164,82.47767980159824,67.17522030880578,25.026726524220823,14730.698544375278,23633.267913851625
3870,48.63654381030862,0.1470212642915979,0.0699312676405003,80.96762193441718,67.17515353880214,25.031239752383208,13923.812560906972,24130.68664849305
3871,48.55553513514192,0.1086328596694454,0.0832409188615236,78.9488839900799,67.17508675264843,25.035752977638307,20131.046637907515,24628.209922106867
3872,49.53632858928672,0.1065991100194967,0.1044541501721515,77.09969705315338,67.17501995034212,25.040266199985712,11112.781024073083,25125.83152468031
3873,51.259546318515376,0.1048768901900887,0.1158233604730234,75.66271863379701,67.17495313188054,25.044779419425,1830.699059458613,25623.545727427303
3874,50.803613380532006,0.1445163844278317,0.0904565628321293,80.78211135611909,67.17488629726118,25.0492926359558,1351.6129998818171,26121.347237157963
3875,51.50901202164075,0.1634752020063648,0.0837110679994271,82.92968426857858,67.17481944648141,25.053805849577667,0.0,26619.23115573466
3876,28.830533084618157,-0.2058574671674707,-0.1294094044121095,0.1433503659715508,67.1842053630433,24.75147411389694,0.0,346.15169603379053
